country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,openfda,recalling_firm,recall_number,initial_firm_notification,product_type,event_id,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status,severity_score
United States,Coloma,4145 Coloma Rd,"Potential for adulteration - elevated mold, yeast, and coliform counts",,"146,220 lbs. Total",Lot Codes: 15190  15191  15196  15198  15200  15201  15202  15203  15204  15205  15212  15215  43145  43146  43147  43148  43149  43150  43151  43152  43153  43155  43156  43157  43158  43159  43160  43161  43162  43163  43164  43165  43166  43167  43168  43169  43170  43171  43172  43173  43174  43175  43176  43177  43178  43179  43180  43181  43182  43183  43184  43583  43584  43585  43586  43587  43588  43589  43590  43591  43592  43593  43594  43595  43596  43597  43598  43599  43600  43601  43602  43603,20150909,"Domestic: MI, IN, IL, WI, MO, NE, OH    Foreign: Canada  DOD/VA: None",MI,"Red Tart Pitted Cherries, Straight Packed (No Sugar),  5 lbs. bulk pails, 30 lbs, in bulk pails",20150916,Class II,{},"Coloma Frozen Foods, Inc.",F-3091-2015,Letter,Food,71948,20160428.0,20150807,49038-8967,Voluntary: Firm initiated,Terminated,3
United States,Seattle,4103 2nd Ave S,"Stir Fry Kit product is recalled due to possible contamination with Listeria monocytogenes. The broccoli used in processing this item has been recalled by vendor Mann Packing of Salinas, California.",,42 cases,Pack Date: 10/13/2017.  Use By: 10/20/2017,20171113,"distributed in Alaska, Idaho, Montana, Oregon, and Washington",WA,"Stir Fry Kit,  Alaska Carrot, 1 x 11 lb. per case, UPC 45009 85749 1    The ingredient: Green cabbage, yellow onion, broccoli florette, carrot plugs.",20171108,Class I,{},Triple B Corporation,F-0163-2018,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,78335,20171206.0,20171020,98134-2305,Voluntary: Firm initiated,Terminated,5
United States,Spokane Valley,9608 E Montgomery Ave Ste 5,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,,Approx 3 gallons,"All codes manufactured from January 1, 2014 - December 15, 2014. (""MMDD"" and ""XXXX""-Snoqualmie Gourmet Ice Cream Code)",20150211,Washington and Idaho ice cream scoop shops and restaurants.,WA,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",20150218,Class I,{},Numbskull LLC,F-1182-2015,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,70150,20150223.0,20141223,99206-4162,Voluntary: Firm initiated,Terminated,5
United States,Grand Rapids,900 Hynes Ave SW,Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,,15 cases,"1.5 oz PEANUT BUTTER COOKIES, 80/case; Product Code/Lot Code: 16033",20160930,"Domestic: Jackson, MI; Toledo, OH; Grand Rapids, MI; Urbana, OH; Hudsonville, MI; Columbus, OH; Lansdale, PA; and Charlton, MA.    No Foreign or DOD/VA",MI,"1.5 oz PEANUT BUTTER COOKIES, 80/case",20161012,Class I,{},"Savory Foods, Inc.",F-2473-2016,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,73353,20161028.0,20160211,49507-1076,Voluntary: Firm initiated,Terminated,5
United States,Minneapolis,2521 E Hennepin Ave,"G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",,721 TOTAL CASES FOR ALL PRODUCTS,"BEST BY 9/15/12 & 9/16/12,",20121011,"Minnesota, Iowa, North Dakota and Wisconsin",MN,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.",20121017,Class I,{},G.O. Fresh,F-0091-2013,Letter,Food,63267,20130214.0,20120913,55413-2911,Voluntary: Firm initiated,Terminated,5
United States,New York,"950 3rd Avenue, 21st Floor",Recalled whey powder was used in further production of numerous food products.,,216 Cases (10 x 1.lb. pouches per case),2280703   Best By 4/3/2019,20180813,"CA, CO, UT, WA, GA, TX",NY,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",20180808,Class II,{},Sugar Foods Corporation Inc,F-1804-2018,Telephone,Food,80580,20180918.0,20180720,10022,Voluntary: Firm initiated,Terminated,3
United States,Amityville,9500 New Horizons Blvd,"The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty Enzymes & Biotechnologies, recalled the raw materials and notified the recipients.  Subsequent private laboratory testing of the finished product revealed levels of chloramphenicol above 0.3 ppb.",,1495 bottles,Lot Number 1256074,20131218,New York,NY,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.",20131225,Class II,{},"Global Health Laboratories, LLC",F-1105-2014,Letter,Food,66765,20170308.0,20131107,11701-1155,Voluntary: Firm initiated,Terminated,3
United States,Tracy,1820 North Macarthur Drive,"Firm was notified by supplier that specific lots of ""expo fresh"" Roma tomatoes may be contaminated with Salmonella.",,45 / 25 Lb. Boxes,Packed on: 9/5/2014  Packed on: 9/6/2014,20141010,"California, Arizona, Nevada, Washington",CA,"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376",20141022,Class I,{},Taylor Farms Pacific Inc. (MacArthur Facility),F-0020-2015,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,69252,20141015.0,20140912,95376-2831,Voluntary: Firm initiated,Terminated,5
United States,Chicago,2501 N Keeler Ave,Product may contain undeclared milk.,,"2,550 lbs",Product #A96555; Lot #WN012117E,20170817,"Nationwide, Mexico, Canada",IL,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",20170726,Class II,{},Newly Weds Foods Inc,F-3116-2017,Letter,Food,77194,20190805.0,20170503,60639-2131,Voluntary: Firm initiated,Terminated,3
United States,Maspeth,4880 Maspeth Ave,Product contains undeclared sulfites.,,unknown,0712  7/12/2019,20190329,"CT, NY, NJ",NY,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",20190320,Class II,{},JOY GOURMET FOODS LLC,F-1215-2019,Visit,Food,82250,20200710.0,20190225,11378-2110,Voluntary: Firm initiated,Terminated,3
United States,Detroit,2140 Wilkins St,Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,,220 lb,"Product Codes: 088401520105, 1168, 1398    Best BY Date March 31 , 2018",20171212,"Unknown, firm would not provide a customer list, but identified there were mail order customers in their press release.",MI,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,20171220,Class II,{},NUTCO Inc. dba Germack Pistachio Co.,F-0456-2018,Letter,Food,78482,20180402.0,20171030,48207-2123,Voluntary: Firm initiated,Terminated,3
United States,Scott City,1202 E 5th St,Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,,61 jars (45.75 lbs.),"lot 5225B1, best by 5/13/2016;",20160815,"Product was distributed to CA, IL, and MI. There was no foreign/military/government distribution.",KS,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",20160824,Class I,{},Nu Life Market LLC,F-1928-2016,E-Mail,Food,74250,20180914.0,20160519,67871-4155,Voluntary: Firm initiated,Terminated,5
United States,Lakeview,7263 Kendaville Rd,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to inadequate pasteurization.,,1878.76,"Made on 09/28/2016, Vat A",20161114,Domestic: MI,MI,"Hot Pepper Cheese, forty-five 40 lb. blocks",20161123,Class II,{},"Farm Country Cheese House, Inc.",F-0431-2017,Telephone,Food,75427,20170502.0,20161010,48850-9563,Voluntary: Firm initiated,Terminated,3
United States,Cedar Rapids,418 2nd St Ne,Product tested positive for Salmonella.,,108 cases,Lots 110218L and 110318L,20181212,"Distributed to distribution centers in AR, IA, IL, KS, MO, NE",IA,"Cap'n Crunch's Peanut Butter Crunch Cereal packaged in 17.1 ounce and 16.5 ounce cardboard boxes. Distributed by The Quaker Oats Company, Chicago IL",20181219,Class I,{},"Quaker Manufacturing, LLC",F-0718-2019,Telephone,Food,81571,20190311.0,20181113,52401-1001,Voluntary: Firm initiated,Terminated,5
United States,Chicopee,705 Meadow St,Product may be contaminated with Listeria monocytogenes.,,87 protein packs,"Production Dates: Dec 27, Dec 29, Dec 30, Jan 1  Rachael s code: 81190701592 and Big Y code: 01889490543",20200204,MA,MA,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",20200212,Class I,{},Rachael's Food Corporation,F-0597-2020,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,84751,20200325.0,20191231,01013-4820,Voluntary: Firm initiated,Terminated,5
United States,Eugene,1061 W 2nd Ave,Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix are recalled due to undeclared milk.,,900 lbs.,"lot numbers are 23122, 23287, 23412, 23520, and 23578.    LOT OTM 23122 expires on 8/11/18.  LOT OTM 23287 expires on 9/19/18.  LOT OTM 23412 expires on 10/19/18.  LOT OTM 23520 expires on 11/16/18.  LOT OTM 23578 expires on 12/1/18.",20180807,"Idaho, Illinois, Oregon, and Washington",OR,"Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix consisting of chocolate chips, fruit, seeds, and nuts.      Product packaged in a cardboard box with a liner bag, net wt. 20 lbs., and was distributed to retailers for sale from their bulk bins.      The product's ingredients statement on the green label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, unsulphured peaches, sunflower seeds, raisins, cranberries (apple juice concentrate, sunflower oil)***"".    The product's ingredients statement on the ivory label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, sunflower seeds, raisins, cranberries (cranberries, apple juice, sunflower oil), Peaches, Raisins (Raisins, Sunflower Oil). No GMOs***"".",20180815,Class I,{},"Green Valley Group, LLC",F-1759-2018,E-Mail,Food,80587,20180914.0,20180719,97402-4947,Voluntary: Firm initiated,Terminated,5
United States,Hialeah,6043 NW 167th St,"During an FDA inspection, it was discovered that the label of several products failed to declare the components ingredients of a butter flavor that included allergens FD&C Yellow #5, FD&C Yellow #6 and FD&C Red #40.",Suit A-21 A-22,"1,052 boxes of 14 units each",Lot Codes 001 - 090,20140611,FL and NC  Panama,FL,El Original pa' ya To Go by hot pandeyuca brand   Cheese Bread Pan de Queso Grande,20140618,Class II,{},Hot Pandeyuca & Company Inc,F-2016-2014,Visit,Food,68007,20140825.0,20140321,33015-4326,Voluntary: Firm initiated,Terminated,3
United States,Medley,7212 NW 78th Ter,Failure to declare sulfites.,,48 units/8oz,No lot or batch number.,20190424,Domestic distribution only.,FL,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",20190501,Class II,{},Traders West Inc,F-1306-2019,Telephone,Food,82500,20191009.0,20190328,33166-2219,Voluntary: Firm initiated,Terminated,3
United States,Oak Brook,2021 Spring Rd Ste 600,TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,,"92,865 cases for all products","Best By/Date Code: 11/26/2016, 11/27/2016, .1/7/2017, 1/14/2017, 3/1/17, 12/31/2016, 12/26/2016, 12/12/2016, 12/3/2016.",20160930,"US: AL, AZ, AR, CA, CO, CT, FL, IL, IN, IA, KS,KY, LA, ME, MD, MA, MI, MN,  MS,  MO, NE, NV, NM, NY, NC,ND, OH, OK, OR, PA,SC, TN, TX, UT, VA, WA, WI, WY.    OUS: HONDURAS, NICARAGUA, CHILE.",IL,"UPC  071725748010,	Sunflower Seeds Roasted and Salted, Best By/Date Code: 11/27/2016.    UPC  007172524140,	Amport Roasted and Salted Sunflower Seeds, Best By/Date Code:11/26/2016.    639277348319,Naturally Select  Roasted and Salted Sunflower Seed, Best By/Date Code: 3/1/2017.    UPC  071725241351,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/3/2016,12/26/2016, 12/12/2016 .    UPC 071725748010,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/31/2016,12/26/2016, 1/14/2017 .    UPC 071725241405,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:1/7/2017 .",20161012,Class I,{},Treehouse Foods,F-2425-2016,Telephone,Food,74041,20170815.0,20160503,60523-1860,Voluntary: Firm initiated,Terminated,5
United States,Milwaukee,726 S 12th St.,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",,"1,159,754.46 total pounds, for all varieties",0 11596 65634 2  = 10/30/2013 - 11/6/2013,20131202,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",WI,"Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb",20131211,Class I,{},"Garden-Fresh Foods, Inc.",F-0625-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,66677,20140313.0,20131030,53204-1211,Voluntary: Firm initiated,Terminated,5
United States,Kearny,969 Newark Tpke Unit D,"Mama Tere Arepa de Moto, de Chocolo and and de Blanca de Maiz were found to be mislabeled.",,,None.,20141106,"CT, IL, MD, NJ, NY,  & PA",NJ,"Mama Tere Arepa de Blanca de Maiz White Corn Patty 14.1 oz/400g   5 units Product of Colombia Importado Por: Family Food Distributors, Inc. 969 Newark Turnpike, Kearny, NJ 07032  UPC 812828011676",20141112,Class II,{},"Family Food Distributors, Inc.",F-0465-2015,Letter,Food,69391,20170530.0,20140826,07032-4321,Voluntary: Firm Initiated,Terminated,3
United States,Charleston,1750 Signal Point Rd Ste 2a,The product contains undeclared sulfites.,,"Bulk cookies: 70 lbs, 8 oz boxes: 2899 units; 4 oz canisters: 1717 units; 1.4 oz packs: 2101 units","1612019, 1622019, 1632019, 1752019, 1772019, 1782019, 1802019, 1822019, 1892019, 1912019, 1962019, 1972019, 1982019, 2042019, 2052019, 2062019, 2082019, 2112019, 2132019, 2142019, 2192019, 2212019, 2252019, 2272019, 2282019, 2312019, 2332019, 2412019, 2542019, 2552019, 2572019, 2632019, 2682019, 2692019, 2712019, 2742019, 2752019, 2762019, 2772019, 2782019, 2822019, 2882019, 2912019, 2922019, 2952019, 2962019, 2972019, 3042019, 3062019, 3082019, 3102019, 3122019, 3172019, 3192019, 3212019, 3252019, 3282019, 3302019, 3362019, 3372019, 3382019, 3452019.",20200124,"Product was shipped to the following states: AL, AR, AZ, CA, CO, CT, DC, DE, FL GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NM, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI & WY.",SC,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT RD, STE 2A CHARLESTON, SC 29412",20200115,Class II,{},TFI Holding dba Grey Ghost Bakery,F-0559-2020,Letter,Food,84523,20191217.0,29412-8056,Voluntary: Firm initiated,Ongoing,,3
United States,Chicago,4140 W Fullerton Ave,Corn flour which may contain small pieces of plastic.,,"2,800 lbs",NWF Product # B56666;  Lot: CD032119B,20190409,Commercial processors in:  ALABAMA  ARKANSAS  FLORIDA  GEORGIA  ILLINOIS  MASSACHUSETTS  MISSISSIPPI  NEBRASKA  NEW JERSEY  NORTH CAROLINA  NORTH DAKOTA  OKLAHOMA  TEXAS  WISCONSIN,IL,Commercial Breader Batter;  B56666 BREADER   X1;       50 pound bag,20190417,Class II,{},Newly Weds Foods Inc,F-1267-2019,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,82498,20201016.0,20190322,60639-2106,Voluntary: Firm initiated,Terminated,3
United States,Beecher,1362 Dutch American Way,Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.,,122 bags,"Batch # 191951, 191952",20170123,"MD, MI, IL, FL",IL,"Gourmet Cocoa Supreme, CP302141-12, NET WT. 12 LBS",20170201,Class II,{},Dutch-American Foods Inc,F-1308-2017,E-Mail,Food,75979,20190712.0,20161207,60401-5093,Voluntary: Firm initiated,Terminated,3
United States,Lakeview,7263 Kendaville Rd,Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to potential contamination with Listeria monocytogenes.,,1247.53 lbs.,"Made on 09/23/2016, Vat A",20161114,Domestic: MI,MI,"White Cheddar Cheese, 40 lb. blocks",20161123,Class I,{},"Farm Country Cheese House, Inc.",F-0428-2017,Telephone,Food,75427,20170502.0,20161010,48850-9563,Voluntary: Firm initiated,Terminated,5
United States,Grand Rapids,463 44th St SE,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",,48 (Bulk) and 792 (Tray),All with sell by dates on or before 15-Sep  with UPC 234 and 0-11213-90395,20121018,MI and OH only.,MI,#234 Bulk Watermelon	234	2.5 pounds  and #050 Watermelon Tray	16 ounces,20121024,Class II,{},Spartan Central Kitchen,F-0259-2013,E-Mail,Food,63159,20130219.0,20120910,49548-4327,Voluntary: Firm initiated,Terminated,3
United States,Chicago,2501 N Keeler Ave,Product may contain undeclared milk.,,"26,000 lbs",Product #B4016W; Lot #WN011817A;  WN022217A;  WN032917A;  WN041917A;  WN122116A,20170817,"Nationwide, Mexico, Canada",IL,"B4016W, 910277 Breader, NET WT 40 LBS, Manufactured By:  Newly Weds Foods, Inc., Chicago, IL 60639",20170726,Class II,{},Newly Weds Foods Inc,F-2992-2017,Letter,Food,77194,20190805.0,20170503,60639-2131,Voluntary: Firm initiated,Terminated,3
United States,Westfield,53 Summit Lock Road,Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,53 Medieros Way,unknown,"Exact codes are unknown. The product being recalled was sold on June 17, 2019 at Target Stores in Commack, NY and Central Islip, NY.",20190724,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York",MA,"DANNON OIKOS TRIPLE ZERO GREEK VANILLA - 5.3OZ/4PK, UPC: 3663201953",20190731,Class II,{},"C & S Wholesale Grocers, Inc.",F-1727-2019,Telephone,Food,83178,20190731.0,20190617,01085-9777,Voluntary: Firm initiated,Terminated,3
United States,Springfield,4455 E Mustard Way,Product may contain foreign objects: rocks and metal fragments.,,"509 displays (20,360 consumer units)","Best by May 25, 2018",20170418,"Product was distributed to CA, KS, MN, MS, MT, OK, OR, TX, and WA.  Product was shipped to a military distributor on the west coast.",MO,"French's Crispy Jalapenos Net Wt. 5 oz. (141.7g), UPC 0 41500 95309 0, French's Food Company.",20170426,Class II,{},"The French's Food Company, LLC SUBS Reckitt Benckiser",F-1994-2017,E-Mail,Food,76864,20190502.0,20170327,65803-9416,Voluntary: Firm initiated,Terminated,3
United States,Milwaukee,726 S 12th St.,"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",,"1,159,754.46 total pounds, for all varieties",0 11596 55902 5 = 11/15/2013 - 12/13/2013;    0 85239 99015 5 = 11/1/2013;   0 85239 69053 6=11/1/2013;    0 11596 06170 2= 11/8/2013 - 12/15/2013,20131202,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",WI,"Grandpas Artichoke Spinach Dip, Product Code 0 11596 55902 5,	1/5 lb;    Archer Farms Artichoke Spinach Dip, Product Code  0 85239 99015 5,	6/11 oz;  Archer Farms Artichoke Spinach Dip, Product Code 0 85239 69053 6,	4/18 oz;    Roundy's Artichoke Spinach Dip, Product Code  0 11596 06170 2,	6/12 oz",20131211,Class I,{},"Garden-Fresh Foods, Inc.",F-0655-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Food,66677,20140313.0,20131030,53204-1211,Voluntary: Firm initiated,Terminated,5
United States,Lake City,5423 N Lake Dr,Product was manufactured with flour recalled due to E. coli O121 contamination.,,176 cases/115 cases (200 units per case).,"Item number: K7954, Lot/Julian Code: PM15M18 / 15352 and PM15M17 / 15351.",20161018,"AR, CA, CO, CT, FL, GA, IL,IN, IO, KY, LA, MA, MD, MI, MN, MO, NC, NJ, NY, NV, OK, OH, OR, PA, TN, TX WA, and WI.",GA,"MINI DEEP DISH MUSHROOM PIZZA, 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",20161026,Class II,{},Kabobs Inc,F-0136-2017,E-Mail,Food,74686,20171106.0,20160706,30260-3534,Voluntary: Firm initiated,Terminated,3
